Last Name,First Name,Middle Name,Title,Subtitle,Language,Year,Series,ID,Last Name UPPER,Middle Name UPPER,First Name UPPER
Кинг,Стивен,,Авторское предисловие,,ru,1985.0,Команда скелетов 0,503814,КИНГ,,СТИВЕН
Кинг,Стивен,,Ад - это космос,компиляция,ru,2021.0,Антология фантастики 2021,633448,КИНГ,,СТИВЕН
Кинг,Стивен,,Адова кошка,,ru,,Сразу после заката 9,300939,КИНГ,,СТИВЕН
Кинг,Стивен,,Аз съм вратата,,bg,,Нощна смяна 4,213041,КИНГ,,СТИВЕН
Кинг,Стивен,,Ако има кръв,bg,bg,2020.0,,627037,КИНГ,,СТИВЕН
Кинг,Стивен,,Акционерное общество «Больше не курим» (сборник),,ru,2012.0,Ночная смена 0|Стивен Кинг. Собрание сочинений 0,338174,КИНГ,,СТИВЕН
Кинг,Стивен,,"Английский язык со Стивеном Кингом. ""Кадиллак"" Долана / Stephen King: Dolan's Cadillac",,ru,,Метод чтения Ильи Франка 0,197214,КИНГ,,СТИВЕН
Кинг,Стивен,,Английский язык со Стивеном Кингом. Верхом на пуле / Stephen King: Riding the Bullet,,ru,,Метод чтения Ильи Франка 0,197212,КИНГ,,СТИВЕН
Кинг,Стивен,,Английский язык со Стивеном Кингом. Дети кукурузы / Stephen King. Children of the Corn (ASCII-IPA),Английский язык со Стивеном Кингом. Дети кукурузы,ru,,Метод чтения Ильи Франка 0,197213,КИНГ,,СТИВЕН
Кинг,Стивен,,Английский язык со Стивеном Кингом. Земляничная весна / Stephen King. Strawberry Spring,,ru,,Метод чтения Ильи Франка 0,197217,КИНГ,,СТИВЕН
